"Datum","Station","Anzahl","Temperatur"
2017-01-01,31101,46,7.77777777777778
2017-01-01,31104,36,7.77777777777778
2017-01-01,31108,22,7.77777777777778
2017-01-01,31109,45,7.77777777777778
2017-01-01,31110,13,7.77777777777778
2017-01-01,31124,25,7.77777777777778
2017-01-01,31200,40,7.77777777777778
2017-01-01,31201,67,7.77777777777778
2017-01-01,31202,41,7.77777777777778
2017-01-01,31203,47,7.77777777777778
2017-01-01,31212,14,7.77777777777778
2017-01-01,31213,12,7.77777777777778
2017-01-01,31214,47,7.77777777777778
2017-01-01,31218,11,7.77777777777778
2017-01-01,31219,20,7.77777777777778
2017-01-01,31222,40,7.77777777777778
2017-01-01,31228,40,7.77777777777778
2017-01-01,31229,43,7.77777777777778
2017-01-01,31230,16,7.77777777777778
2017-01-01,31231,18,7.77777777777778
2017-01-01,31232,20,7.77777777777778
2017-01-01,31238,17,7.77777777777778
2017-01-01,31241,19,7.77777777777778
2017-01-01,31243,37,7.77777777777778
2017-01-01,31244,21,7.77777777777778
2017-01-01,31246,29,7.77777777777778
2017-01-01,31247,130,7.77777777777778
2017-01-01,31248,43,7.77777777777778
2017-01-01,31249,64,7.77777777777778
2017-01-01,31257,25,7.77777777777778
2017-01-01,31258,122,7.77777777777778
2017-01-01,31265,26,7.77777777777778
2017-01-01,31266,43,7.77777777777778
2017-01-01,31267,22,7.77777777777778
2017-01-01,31271,41,7.77777777777778
2017-01-01,31272,17,7.77777777777778
2017-01-01,31277,46,7.77777777777778
2017-01-01,31278,16,7.77777777777778
2017-01-01,31281,43,7.77777777777778
2017-01-01,31288,60,7.77777777777778
2017-01-01,31289,78,7.77777777777778
2017-01-01,31290,37,7.77777777777778
2017-01-01,31600,34,7.77777777777778
2017-01-01,31603,33,7.77777777777778
2017-01-01,31613,31,7.77777777777778
2017-01-01,31616,26,7.77777777777778
2017-01-01,31623,48,7.77777777777778
2017-01-01,31624,12,7.77777777777778
2017-01-01,31627,24,7.77777777777778
2017-01-01,31628,35,7.77777777777778
2017-01-02,31101,20,5
2017-01-02,31104,32,5
2017-01-02,31108,16,5
2017-01-02,31109,25,5
2017-01-02,31110,12,5
2017-01-02,31124,17,5
2017-01-02,31200,21,5
2017-01-02,31201,36,5
2017-01-02,31202,30,5
2017-01-02,31203,11,5
2017-01-02,31212,21,5
2017-01-02,31213,4,5
2017-01-02,31214,33,5
2017-01-02,31218,4,5
2017-01-02,31219,2,5
2017-01-02,31222,3,5
2017-01-02,31228,17,5
2017-01-02,31229,31,5
2017-01-02,31230,10,5
2017-01-02,31231,4,5
2017-01-02,31232,18,5
2017-01-02,31238,5,5
2017-01-02,31241,24,5
2017-01-02,31243,5,5
2017-01-02,31244,7,5
2017-01-02,31246,7,5
2017-01-02,31247,12,5
2017-01-02,31248,5,5
2017-01-02,31249,6,5
2017-01-02,31257,6,5
2017-01-02,31258,11,5
2017-01-02,31265,9,5
2017-01-02,31266,17,5
2017-01-02,31267,8,5
2017-01-02,31271,7,5
2017-01-02,31272,11,5
2017-01-02,31277,4,5
2017-01-02,31278,18,5
2017-01-02,31281,17,5
2017-01-02,31288,12,5
2017-01-02,31289,8,5
2017-01-02,31290,3,5
